ano,categoria,valor,share
2012,raca,Branca,0.42041622752146385
2012,raca,Preta,0.06236474649667253
2012,raca,Amarela,0.003094963486386727
2012,raca,Parda,0.5123479012551612
2012,raca,Indigena,0.001770937260150373
2012,raca,Ignorada,5.223980165380589e-06
2012,sexo,Homem,0.5047029207843828
2012,sexo,Mulher,0.4952970792156171
2013,raca,Branca,0.4117200358501215
2013,raca,Preta,0.060132102025480895
2013,raca,Amarela,0.002887881809095755
2013,raca,Parda,0.5238758346008078
2013,raca,Indigena,0.0013802344044491156
2013,raca,Ignorada,3.911310044930599e-06
2013,sexo,Homem,0.5055298738631817
2013,sexo,Mulher,0.4944701261368183
2014,raca,Branca,0.410977256146416
2014,raca,Preta,0.06224834138708846
2014,raca,Amarela,0.0026448851063491665
2014,raca,Parda,0.5228988457305546
2014,raca,Indigena,0.0012306716295918457
2014,raca,Ignorada,0.0
2014,sexo,Homem,0.5059415865152992
2014,sexo,Mulher,0.4940584134847009
2015,raca,Branca,0.4053301640381729
2015,raca,Preta,0.06308907138595317
2015,raca,Amarela,0.002839534073217162
2015,raca,Parda,0.5257441114321368
2015,raca,Indigena,0.0016373420093064234
2015,raca,Ignorada,0.0013597770612135413
2015,sexo,Homem,0.5063569556265478
2015,sexo,Mulher,0.49364304437345224
2016,raca,Branca,0.40566374482130824
2016,raca,Preta,0.07137173183708438
2016,raca,Amarela,0.0035781512249682835
2016,raca,Parda,0.5169256139748998
2016,raca,Indigena,0.002379359240966434
2016,raca,Ignorada,8.139890077296161e-05
2016,sexo,Homem,0.5074255304940763
2016,sexo,Mulher,0.4925744695059237
2017,raca,Branca,0.3926079382715122
2017,raca,Preta,0.07341354704283763
2017,raca,Amarela,0.0037014967408238357
2017,raca,Parda,0.5277004544959687
2017,raca,Indigena,0.0024869553839117794
2017,raca,Ignorada,8.960806494577742e-05
2017,sexo,Homem,0.5078253207703247
2017,sexo,Mulher,0.4921746792296753
2018,raca,Branca,0.3891919331537195
2018,raca,Preta,0.07928882426407864
2018,raca,Amarela,0.005292221588098655
2018,raca,Parda,0.5227339319882461
2018,raca,Indigena,0.003367266072281177
2018,raca,Ignorada,0.00012582293357589404
2018,sexo,Homem,0.5079700574620442
2018,sexo,Mulher,0.49202994253795584
2019,raca,Branca,0.38665023094531015
2019,raca,Preta,0.08411717488494246
2019,raca,Amarela,0.004144803957220554
2019,raca,Parda,0.5210558486514708
2019,raca,Indigena,0.004005185668558308
2019,raca,Ignorada,2.6755892497779414e-05
2019,sexo,Homem,0.5088575279941835
2019,sexo,Mulher,0.49114247200581657
2020,raca,Branca,0.38830586712570614
2020,raca,Preta,0.0781814619942884
2020,raca,Amarela,0.003588520463555934
2020,raca,Parda,0.5262075103450704
2020,raca,Indigena,0.0032672960260500634
2020,raca,Ignorada,0.0004493440453288705
2020,sexo,Homem,0.5085165900819333
2020,sexo,Mulher,0.4914834099180666
2021,raca,Branca,0.3981647036035753
2021,raca,Preta,0.0794045236522912
2021,raca,Amarela,0.005074892362010014
2021,raca,Parda,0.5138195093558781
2021,raca,Indigena,0.0033180615152168733
2021,raca,Ignorada,0.00021830951102854646
2021,sexo,Homem,0.5089395973994201
2021,sexo,Mulher,0.49106040260058004
2022,raca,Branca,0.39939887911557387
2022,raca,Preta,0.0909762203714126
2022,raca,Amarela,0.005179726303439316
2022,raca,Parda,0.500381509198597
2022,raca,Indigena,0.003817799311135323
2022,raca,Ignorada,0.0002458656998417541
2022,sexo,Homem,0.5092601046754293
2022,sexo,Mulher,0.4907398953245707
2023,raca,Branca,0.39555995881991335
2023,raca,Preta,0.09212779009911201
2023,raca,Amarela,0.0057591169213807285
2023,raca,Parda,0.5021253496849825
2023,raca,Indigena,0.004331979247557541
2023,raca,Ignorada,9.580522705383015e-05
2023,sexo,Homem,0.5104252764773862
2023,sexo,Mulher,0.48957472352261383
2024,raca,Branca,0.39157193014571623
2024,raca,Preta,0.09387418934108924
2024,raca,Amarela,0.004224371755022091
2024,raca,Parda,0.5057174346171023
2024,raca,Indigena,0.004527270953120312
2024,raca,Ignorada,8.480318794972164e-05
2024,sexo,Homem,0.5105627904337053
2024,sexo,Mulher,0.48943720956629466
2025,raca,Branca,0.3956094599609692
2025,raca,Preta,0.09625822930833877
2025,raca,Amarela,0.004062321708087965
2025,raca,Parda,0.499501517115119
2025,raca,Indigena,0.0045093341466428275
2025,raca,Ignorada,5.913776084221858e-05
2025,sexo,Homem,0.5110934238510373
2025,sexo,Mulher,0.48890657614896266
