obs_ano,idade,coorte_nascimento,em_matr,n
2015,14,2001,0.0,10262
2015,15,2000,0.0,10891
2015,16,1999,0.0,10235
2015,17,1998,0.0,10216
2015,18,1997,0.0,10021
2015,19,1996,0.0,9645
2015,20,1995,0.0,9463
2015,21,1994,0.0,8705
2017,14,2003,0.1774255297854487,9232
2017,15,2002,0.574186123957397,9585
2017,16,2001,0.7019632896244372,10065
2017,17,2000,0.5701067901811961,10149
2017,18,1999,0.26234065573849163,9742
2017,19,1998,0.1243422613821113,9368
2017,20,1997,0.06400133482678763,9290
2017,21,1996,0.03855583358309663,8915
2019,14,2005,0.1385708204235545,8632
2019,15,2004,0.5967456157844355,8664
2019,16,2003,0.7316423898846727,8755
2019,17,2002,0.631034845070754,8823
2019,18,2001,0.27081666949277355,9130
2019,19,2000,0.11705440895458516,8944
2019,20,1999,0.050706820512631354,8485
2019,21,1998,0.031603485730175344,8187
2021,14,2007,0.10669333382037079,5362
2021,15,2006,0.5683173456608965,5450
2021,16,2005,0.7741949929715778,5525
2021,17,2004,0.7118375116934048,5401
2021,18,2003,0.3262088786398779,5453
2021,19,2002,0.1643262076170156,5281
2021,20,2001,0.06248959411253801,5439
2021,21,2000,0.040689819355021056,5325
2023,14,2009,0.10023364107903353,6850
2023,15,2008,0.6013442779681935,6965
2023,16,2007,0.8004867276891585,7044
2023,17,2006,0.7428117891674592,7085
2023,18,2005,0.29596832693569136,6865
2023,19,2004,0.10180226612161168,6503
2023,20,2003,0.0416516282823438,6569
2023,21,2002,0.02587091837194744,6393
2025,14,2011,0.10403890362535821,6673
2025,15,2010,0.6942634831638332,6720
2025,16,2009,0.8507123510109327,6719
2025,17,2008,0.780363251634895,6740
2025,18,2007,0.2504567972307344,6717
2025,19,2006,0.07134981806529207,6288
2025,20,2005,0.027147481994050718,6217
2025,21,2004,0.01765416513724679,5939
