serie,nivel,destino,share,n
1o EF,1,Evasão,0.005325880016167651,156
1o EF,1,Migração EJA,0.000192475455847952,6
1o EF,1,Promoção,0.8278781705866756,19525
1o EF,1,Repetência,0.1666034739413088,4084
2o EF,2,Evasão,0.004038916023583315,119
2o EF,2,Migração EJA,0.00029550957267226297,7
2o EF,2,Outro,0.020976196808915423,622
2o EF,2,Promoção,0.8109473116017147,20076
2o EF,2,Repetência,0.1637420659931144,4212
3o EF,3,Evasão,0.003767723149488006,133
3o EF,3,Migração EJA,0.0005425078433069575,19
3o EF,3,Outro,0.016661432402322277,575
3o EF,3,Promoção,0.8031021555317893,21444
3o EF,3,Repetência,0.17592618107309346,5006
4o EF,4,Evasão,0.005561762705583498,183
4o EF,4,Migração EJA,0.000868587414796566,30
4o EF,4,Outro,0.023156092984735217,785
4o EF,4,Promoção,0.7986650655657384,22112
4o EF,4,Repetência,0.1717484913291462,4853
5o EF,5,Evasão,0.008065383594587649,304
5o EF,5,Migração EJA,0.0023743095047524345,85
5o EF,5,Outro,0.021891948204026422,804
5o EF,5,Promoção,0.7941619725690887,22673
5o EF,5,Repetência,0.1735063861275449,5020
6o EF,6,Evasão,0.014281023786323739,510
6o EF,6,Migração EJA,0.004758650232040152,176
6o EF,6,Outro,0.02183347880599841,796
6o EF,6,Promoção,0.7687019148560055,22792
6o EF,6,Repetência,0.19042493231963217,5896
7o EF,7,Evasão,0.016591381509230965,566
7o EF,7,Migração EJA,0.007615455789120957,276
7o EF,7,Outro,0.02730295683003924,930
7o EF,7,Promoção,0.7593416814264559,21650
7o EF,7,Repetência,0.18914852444515307,5492
8o EF,8,Evasão,0.02395393057442274,721
8o EF,8,Migração EJA,0.008856202875786869,227
8o EF,8,Outro,0.026991664612535445,821
8o EF,8,Promoção,0.7783502810833729,19860
8o EF,8,Repetência,0.161847920853882,4129
9o EF,9,Evasão,0.026766194663532097,817
9o EF,9,Migração EJA,0.005154676918292529,145
9o EF,9,Outro,0.03052821481461723,864
9o EF,9,Promoção,0.7529456045950177,18623
9o EF,9,Repetência,0.1846053090085403,4295
1o EM,10,Evasão,0.07717538263287091,2357
1o EM,10,Migração EJA,0.0038423637912854683,148
1o EM,10,Outro,0.025664617240198223,796
1o EM,10,Promoção,0.7018147927297883,20915
1o EM,10,Repetência,0.19150284360585706,5614
2o EM,11,Evasão,0.09447448957737707,2384
2o EM,11,Migração EJA,0.0026214635961525584,79
2o EM,11,Outro,0.03232111796927191,850
2o EM,11,Promoção,0.6974798179806846,17995
2o EM,11,Repetência,0.17310311087651395,4225
3o EM,12,Evasão,0.04009191519611874,861
3o EM,12,Migração EJA,0.0026473069834443536,59
3o EM,12,Outro,0.08202836921400967,1933
3o EM,12,Promoção,0.6611515139325953,14069
3o EM,12,Repetência,0.214080894673832,4385
4o EM tec,13,Evasão,0.028170756545072576,42
4o EM tec,13,Migração EJA,0.0007421887368615933,1
4o EM tec,13,Outro,0.18252381252432423,219
4o EM tec,13,Promoção,0.44013449191868637,508
4o EM tec,13,Repetência,0.3484287502750553,369
