macroetapa,metric,pop_geral,abandonados
EF iniciais,idade_media,8.270751297375336,12.143286368829854
EF iniciais,share_Homem,0.5225617919287884,0.6560751091369849
EF iniciais,share_Mulher,0.4774382080712117,0.34392489086301514
EF iniciais,share_Branca,0.41006052293240675,0.31674656609163554
EF iniciais,share_Preta,0.0657419299086755,0.07139061760395261
EF iniciais,share_Parda,0.5171472643994016,0.6078500141816787
EF finais,idade_media,12.794700713844026,16.3642443510621
EF finais,share_Homem,0.5186619574016206,0.6436844049485023
EF finais,share_Mulher,0.4813380425983794,0.3563155950514976
EF finais,share_Branca,0.4024089540893295,0.2798574137407315
EF finais,share_Preta,0.07394852330379552,0.1004319482924253
EF finais,share_Parda,0.5173796175607668,0.6128721351542977
EM,idade_media,16.24334685267641,17.978358031901717
EM,share_Homem,0.5012074596811659,0.5940831120030335
EM,share_Mulher,0.4987925403188342,0.4059168879969665
EM,share_Branca,0.4207093881409086,0.31872880276700793
EM,share_Preta,0.07639719664784242,0.09960067855645381
EM,share_Parda,0.4958975389327173,0.576695788145243
