serie_cohort,cohort_year,tempo_rel,total_matr,serie_lbl
11,2013,8,960.7275848388672,2o EM
11,2013,10,2215.610244750977,2o EM
12,2013,12,1860126.877315521,3o EM
12,2013,13,1740969.895796776,3o EM
12,2013,14,1618664.959612846,3o EM
12,2013,15,1445409.532085419,3o EM
11,2014,8,1912179.497263908,2o EM
11,2014,9,1714090.74110508,2o EM
11,2014,10,1577475.893518448,2o EM
11,2014,11,1457571.213830948,2o EM
12,2014,12,1809449.014708519,3o EM
12,2014,13,1686686.076903343,3o EM
12,2014,14,1520406.865206718,3o EM
12,2014,15,1351542.461923599,3o EM
10,2015,4,2132690.259230614,1o EM
10,2015,5,1962755.182268143,1o EM
10,2015,6,1698682.61266613,1o EM
10,2015,7,1455593.907475471,1o EM
11,2015,8,1841006.703505516,2o EM
11,2015,9,1623748.337562561,2o EM
11,2015,10,1442372.920026779,2o EM
11,2015,11,1290634.716129303,2o EM
12,2015,12,1737316.783182144,3o EM
12,2015,13,1626988.2803936,3o EM
12,2015,14,1422139.658535957,3o EM
12,2015,15,1235510.857212067,3o EM
8,2016,0,1874958.686798096,8o EF
8,2016,1,1683000.139676094,8o EF
8,2016,2,1485904.655495644,8o EF
8,2016,3,1280969.073821068,8o EF
10,2016,4,2053231.05355978,1o EM
10,2016,5,1887261.530190468,1o EM
10,2016,6,1594834.19717598,1o EM
10,2016,7,1405998.673524857,1o EM
11,2016,8,1769001.488981247,2o EM
11,2016,9,1611112.468034744,2o EM
11,2016,10,1447836.450005531,2o EM
11,2016,11,1373927.130963326,2o EM
12,2016,12,1730597.503315926,3o EM
12,2016,13,1616424.830036163,3o EM
12,2016,14,1448351.702692986,3o EM
12,2016,15,1220698.966082573,3o EM
8,2017,0,1898869.745417595,8o EF
8,2017,1,1767532.797024727,8o EF
8,2017,2,1507327.801650047,8o EF
8,2017,3,1359136.443670273,8o EF
10,2017,4,1962098.852436066,1o EM
10,2017,5,1765199.196426392,1o EM
10,2017,6,1493855.093389511,1o EM
10,2017,7,1300888.047616959,1o EM
11,2017,8,1789606.259436607,2o EM
11,2017,9,1609527.613723755,2o EM
11,2017,10,1409150.496992111,2o EM
11,2017,11,1276005.463329315,2o EM
12,2017,12,1750556.532928467,3o EM
12,2017,13,1680451.663446426,3o EM
12,2017,14,1399325.298194885,3o EM
12,2017,15,1194443.970708847,3o EM
8,2018,0,1973666.203364372,8o EF
8,2018,1,1749982.044126511,8o EF
8,2018,2,1542139.945691109,8o EF
8,2018,3,1336509.581466675,8o EF
10,2018,4,1978664.720671654,1o EM
10,2018,5,1833287.88988018,1o EM
10,2018,6,1526846.367972374,1o EM
10,2018,7,1314654.744818687,1o EM
11,2018,8,1822876.992126465,2o EM
11,2018,9,1790618.807012558,2o EM
11,2018,10,1477396.261846542,2o EM
11,2018,11,1275309.658676147,2o EM
12,2018,12,1638492.736650467,3o EM
12,2018,13,1669710.640039444,3o EM
12,2018,14,1380862.706314087,3o EM
12,2018,15,1128852.266983032,3o EM
8,2019,0,1970043.031383514,8o EF
8,2019,1,1813010.967827797,8o EF
8,2019,2,1511931.484716415,8o EF
8,2019,3,1288928.779615402,8o EF
10,2019,4,1992041.232188225,1o EM
10,2019,5,1822040.086515427,1o EM
10,2019,6,1569528.11373806,1o EM
10,2019,7,1280705.418029785,1o EM
11,2019,8,1655812.86083889,2o EM
11,2019,9,1666018.356894016,2o EM
11,2019,10,1436916.887409687,2o EM
11,2019,11,1181568.501866341,2o EM
12,2019,12,1757452.428762436,3o EM
12,2019,13,1688472.574144363,3o EM
12,2019,14,1445696.003442287,3o EM
12,2019,15,1211687.453111649,3o EM
8,2020,0,1964078.887213707,8o EF
8,2020,1,1823623.933585167,8o EF
8,2020,2,1439092.71396637,8o EF
8,2020,3,1131476.16411972,8o EF
10,2020,4,1811571.010603428,1o EM
10,2020,5,1681651.114860058,1o EM
10,2020,6,1427711.552489281,1o EM
10,2020,7,1204067.54823494,1o EM
11,2020,8,1738750.829010963,2o EM
11,2020,9,1708474.015051842,2o EM
11,2020,10,1420455.098278999,2o EM
11,2020,11,1197038.20887661,2o EM
12,2020,12,1671178.327640533,3o EM
12,2020,13,1590326.966688156,3o EM
12,2020,14,1358279.694412231,3o EM
12,2020,15,1189588.499088287,3o EM
