ano_t,macroetapa,flag_promocao,flag_repetencia,flag_evasao,flag_migracao_eja,n_pessoa
2012,EF finais,0.7481768406075846,0.16273527111947272,0.03237033786888623,0.009998874125485911,10245
2012,EF iniciais,0.7858868073654869,0.1731364017539746,0.011115521351167649,0.0025658770369577032,13419
2012,EM,0.6533431913766319,0.171945991746283,0.07968718095017135,0.006295691686084679,8919
2013,EF finais,0.7489120433887239,0.16922722665509765,0.032973936491202525,0.010141998218100589,9672
2013,EF iniciais,0.8009416453159932,0.16202075139536198,0.01053223048393511,0.0011404772192854208,12154
2013,EM,0.6350762488487708,0.18346615800368385,0.08572116445657726,0.005540970639912028,8540
2014,EF finais,0.7693704480384049,0.16247008557147619,0.02672857028845035,0.006719201477784021,9794
2014,EF iniciais,0.8172305751278593,0.14849909749105103,0.007958086353923402,0.0007319648527697237,12175
2014,EM,0.6479158751860272,0.18959541292790574,0.07913579124377815,0.006256787595511627,9009
2015,EF finais,0.7695560702608525,0.16314747244504113,0.023833130342228254,0.0074570555647381215,10433
2015,EF iniciais,0.8109419376698932,0.15666855184199238,0.005760130289860441,0.0008938033962497491,13057
2015,EM,0.6745906535557422,0.16664998582917345,0.11666316809331423,0.0012324802268005887,7154
2016,EF finais,0.77980506727098,0.15211045118959354,0.021254054875690997,0.008633333694813776,10689
2016,EF iniciais,0.8283036926987644,0.14395506932411525,0.005235168255022663,0.0015228740693375223,13017
2016,EM,0.7238811095064035,0.1647682006446789,0.0729796087363113,0.0038298684876055646,7031
2017,EF finais,0.7917489288777809,0.1499527708325329,0.019992562734256647,0.00865378389373498,10541
2017,EF iniciais,0.8532496231368577,0.12651455058338967,0.005590058812013063,0.0007604575884759512,12662
2017,EM,0.7495781453963676,0.14200779750666437,0.07171838361628488,0.003119776038261672,6493
2018,EF finais,0.80954823985109,0.13574052003112688,0.02046010507251935,0.010931974583496557,10093
2018,EF iniciais,0.8630779593474818,0.11659002551936001,0.004427150126465709,0.0011442910592886755,12339
2018,EM,0.757155610635549,0.13574786081702128,0.07395660289010941,0.0015067333460889103,6434
2019,EF finais,0.8140636589201637,0.13828830784861,0.01343973126929436,0.005596483591689855,8457
2019,EF iniciais,0.8611728382292557,0.11876263703080327,0.0035495044155701813,0.0005912946568108341,9986
2019,EM,0.7579859131204879,0.15033986025381238,0.05891341244564809,0.001667182047187388,5446
2020,EF finais,0.7311505047343656,0.24724073876713618,0.008499277728590895,0.0022865243628190897,5419
2020,EF iniciais,0.7690624016661142,0.21885434058362713,0.003976471618487669,2.8315163707549093e-05,6304
2020,EM,0.6350189606606614,0.2992246633289293,0.03807383592641555,0.0018631356747544783,3499
2021,EF finais,0.8043000795293663,0.15873554098244255,0.02039938980718722,0.003504282481497874,7457
2021,EF iniciais,0.8290591932638147,0.15990341382757187,0.002298423119072771,0.0006360864609066215,8024
2021,EM,0.7338961899623148,0.17923849440375958,0.06777098495581399,0.0011063612843043452,4680
2022,EF finais,0.7141326180959011,0.2599908739700505,0.013349920459147182,0.002548405729751424,8168
2022,EF iniciais,0.7341709097675904,0.2555170116929289,0.0014453086788050987,0.00020472240403509356,9579
2022,EM,0.6587634693866575,0.2764464115989647,0.05024715955623055,0.0005346328164422619,5274
2023,EF finais,0.7014478181116789,0.2761949405150818,0.008814079421682696,0.0026979102977658714,8618
2023,EF iniciais,0.7272450847460531,0.26172830550055726,0.0027648460963976143,0.0002786990490762139,10117
2023,EM,0.6474464546438659,0.2834498618073306,0.05147690122884886,0.0003291602109773972,5330
