ano_t,macroetapa,flag_abandono,flag_eja_intra,n
2012,EF finais,0.04054866710288285,0.010259986185391546,9302
2012,EF iniciais,0.017448524189733815,0.0008903421114037718,12521
2012,EM,0.1517268391201524,0.009787837170193294,6161
2013,EF finais,0.03442735362395368,0.006709431567167733,8677
2013,EF iniciais,0.013717915553273178,0.0008370832036332404,10703
2013,EM,0.13493221817065856,0.007944599232160211,5766
2014,EF finais,0.03710296543494704,0.006506567937123508,8855
2014,EF iniciais,0.009356258876961853,0.0006127228836912697,10890
2014,EM,0.12827306658737567,0.006048882720731419,6170
2015,EF finais,0.027171782027013872,0.0,9011
2015,EF iniciais,0.006136692067574164,0.0,11084
2015,EM,0.12850165780044723,0.0,6055
2016,EF finais,0.02559878894920124,0.01259868008824494,10259
2016,EF iniciais,0.004812028297435859,0.0007452094555689813,12121
2016,EM,0.11284391823738134,0.011999773917994533,6976
2017,EF finais,0.02481592853337272,0.008092515229497329,10180
2017,EF iniciais,0.0059049950624428475,0.0009874952610140423,11964
2017,EM,0.14130571361415373,0.015392912535474002,6927
2018,EF finais,0.02097523866565611,0.008593428952123233,9562
2018,EF iniciais,0.006813072400335589,0.0006050422683597118,11510
2018,EM,0.13008346640779042,0.014854500839752776,6304
2019,EF finais,0.022184574371503164,0.00779216896893066,9407
2019,EF iniciais,0.005274042291133649,0.0006280994893541763,11023
2019,EM,0.1277984708815529,0.016092441373057348,6182
2020,EF finais,0.005760526178092542,0.0022040228498999754,6195
2020,EF iniciais,0.0065438245845682065,0.00018272847343281832,7148
2020,EM,0.03222627542345506,0.006726933791347785,4194
2021,EF finais,0.007973080826935475,0.000883296466102999,4399
2021,EF iniciais,0.0034192335607811574,0.0005284347023039255,4601
2021,EM,0.08670144333056688,0.00397487619390607,3084
2022,EF finais,0.008840054298140432,0.0022317147065686717,7860
2022,EF iniciais,0.002377648729389803,0.0003799840196513456,8549
2022,EM,0.09075477479321792,0.0037919091533987165,5160
2023,EF finais,0.00504603264949167,0.002504063411271711,7465
2023,EF iniciais,0.0015482975233841283,0.00020194247582840542,8457
2023,EM,0.07704992703814013,0.005429667850903481,5164
2024,EF finais,0.014692973914814798,0.006336199495467014,7704
2024,EF iniciais,0.004045198113617458,0.00029077957892537586,8975
2024,EM,0.13719076728539403,0.008847989744199796,5254
